Date,Player1,Player2,Player1 HP,Player2 HP,Player1 Damage,Player2 Damage,Result,Points,Classed
26/11/2014 21:14:47,MankyMonk,Rainmaiker,12767.976,0.0,9818,0,MankyMonk won,2,no
26/11/2014 21:17:48,Rainmaiker,MankyMonk,0.0,12817.984,1,8300,MankyMonk won,3,no
27/11/2014 18:03:22,Cocaine,DOMBAI,0.0,11355.0,0,5401,DOMBAI won,2,no
27/11/2014 18:06:23,Cocaine,DOMBAI,4491.0,0.0,13810,0,Cocaine won,2,no
27/11/2014 18:09:55,DOMBAI,Cocaine,10301.0,0.0,5818,0,DOMBAI won,2,no
27/11/2014 18:12:56,DOMBAI,Cocaine,0.0,4491.0,0,11352,Cocaine won,2,no
27/11/2014 18:15:57,Cocaine,DOMBAI,0.0,11135.0,0,4659,DOMBAI won,2,no
27/11/2014 18:19:48,DOMBAI,Cocaine,0.0,3718.1529683923327,0,12506,Cocaine won,2,no
27/11/2014 18:22:59,Cocaine,DOMBAI,0.0,12682.02644,0,7287,DOMBAI won,2,no
27/11/2014 18:26:31,DOMBAI,Cocaine,0.0,4491.0,0,12930,Cocaine won,2,no
27/11/2014 18:30:03,DOMBAI,Cocaine,10301.0,0.0,11563,0,DOMBAI won,2,no
27/11/2014 18:33:04,DOMBAI,Cocaine,0.0,4491.0,0,13995,Cocaine won,2,no
27/11/2014 18:36:35,Cocaine,DOMBAI,0.0,11355.0,0,14405,DOMBAI won,2,no
27/11/2014 18:42:56,DOMBAI,Cocaine,4186.130631999999,0.0,4547,7243,DOMBAI won,2,no
27/11/2014 18:46:07,Cocaine,DOMBAI,4491.0,0.0,14651,0,Cocaine won,2,no
27/11/2014 23:14:18,QRY,HEJIEIIOCTb,0.0,10745.0,0,10461,HEJIEIIOCTb won,3,no
27/11/2014 23:16:00,RedAngeL,OneLoveOneShot,6950.0,0.0,5773,0,RedAngeL won,2,no
27/11/2014 23:17:51,HEJIEIIOCTb,QRY,10745.0,0.0,10989,0,HEJIEIIOCTb won,2,no
27/11/2014 23:19:24,OneLoveOneShot,RedAngeL,5551.0,0.0,8379,0,OneLoveOneShot won,1,no
27/11/2014 23:25:15,HEJIEIIOCTb,QRY,9892.20984,0.0,11826,992,HEJIEIIOCTb won,2,no
27/11/2014 23:25:18,RedAngeL,OneLoveOneShot,6950.0,0.0,8858,0,RedAngeL won,1,no
27/11/2014 23:28:49,OneLoveOneShot,RedAngeL,5551.0,0.0,7704,0,OneLoveOneShot won,1,no
27/11/2014 23:32:21,OneLoveOneShot,RedAngeL,0.0,6950.0,0,6048,RedAngeL won,1,no
27/11/2014 23:36:03,HEJIEIIOCTb,NoNameNoFace,10745.0,0.0,7889,0,HEJIEIIOCTb won,5,no
27/11/2014 23:36:56,OneLoveOneShot,RedAngeL,5551.0,0.0,7224,0,OneLoveOneShot won,1,no
27/11/2014 23:39:47,NoNameNoFace,HEJIEIIOCTb,0.0,10745.0,0,7990,HEJIEIIOCTb won,5,no
27/11/2014 23:41:00,RedAngeL,OneLoveOneShot,5431.728524,0.0,11057,1827,RedAngeL won,1,no
27/11/2014 23:46:01,TAR4OK,NoNameNoFace,4548.0,0.0,8153,0,TAR4OK won,4,no
27/11/2014 23:49:33,TAR4OK,DOMBAI,0.0,11039.238528,0,5993,DOMBAI won,2,no
28/11/2014 19:00:27,Rainmaiker,slim,0.0,2776.0616999999997,3017,2088,slim won,3,no
28/11/2014 19:02:13,slim,Rainmaiker,0.0,0.0,0,0,slim default,7,no
28/11/2014 19:05:19,Rainmaiker,slim,0.0,1444.2044148999998,4104,1267,slim won,2,no
28/11/2014 19:09:41,Rainmaiker,slim,6594.997904000001,0.0,5670,949,Rainmaiker won,2,no
28/11/2014 19:13:33,Rainmaiker,slim,6618.852048000001,0.0,5695,816,Rainmaiker won,2,no
28/11/2014 19:17:45,Rainmaiker,slim,4560.967472,0.0,5960,2682,Rainmaiker won,2,no
28/11/2014 19:21:46,slim,Rainmaiker,0.0,3034.7137559999996,1907,6016,Rainmaiker won,2,no
28/11/2014 19:25:17,Rainmaiker,slim,0.0,3259.3723921,2190,1047,slim won,1,no
28/11/2014 19:29:18,slim,Rainmaiker,0.0,4679.806928,2846,5690,Rainmaiker won,1,no
28/11/2014 19:33:10,slim,DDosAttack,1569.7393069999998,0.0,8667,4067,slim won,1,no
